25
man ped 1 173
	3 IDLE_STANCE 2
	4 walk_start 40
shuffle ped 1 4
	0 WALK_shuffle e2
	1 RUN_civi e2
	2 SPRINT_civi e2
	3 IDLE_STANCE 2
oldman ped 1 4
	0 walk_old e2
	1 run_civi e2
	2 sprint_civi e2
	3 idle_stance 2
gang1 ped 1 4
	0 walk_gang1 e2
	1 run_gang1 e2
	2 sprint_civi e2
	3 idle_stance 2
gang2 ped 1 4
	0 walk_gang2 e2
	1 run_gang1 e2
	2 sprint_civi e2
	3 idle_stance 2
fatman ped 1 4
	0 walk_fat e2
	1 run_civi e2
	2 woman_runpanic e2
	3 idle_stance 2
oldfatman ped 1 4
	0 walk_fatold e2
	1 run_fatold e2
	2 woman_runpanic e2
	3 idle_stance 2
woman ped 1 4
	0 woman_walknorm e2
	1 woman_run e2
	2 woman_runpanic e2
	3 woman_idlestance 2
shopping ped 1 4
	0 woman_walkshop e2
	1 woman_run e2
	2 woman_run e2
	3 woman_idlestance 2
busywoman ped 1 4
	0 woman_walkbusy e2
	1 woman_run e2
	2 woman_runpanic e2
	3 woman_idlestance 2
sexywoman ped 1 4
	0 woman_walksexy e2
	1 woman_run e2
	2 woman_runpanic e2
	3 woman_idlestance 2
oldwoman ped 1 4
	0 woman_walkold e2
	1 woman_run e2
	2 woman_runpanic e2
	3 woman_idlestance 2
fatwoman ped 1 4
	0 walk_fat e2
	1 woman_run e2
	2 woman_runpanic e2
	3 woman_idlestance 2
panicchunky ped 1 4
	0 run_fatold e2
	1 woman_runpanic e2
	2 woman_runpanic e2
	3 idle_stance 2
playerback ped 1 5
	0 walk_player_back e2
	1 run_player_back e2
	2 run_player_back e2
	3 IDLE_STANCE 2
	4 walk_start_back 40
playerleft ped 1 5
	0 walk_player_left 10e2
	1 run_left 10e2
	2 run_left 10e2
	3 IDLE_STANCE 2
	4 walk_start_left 1040
playerright ped 1 5
	0 walk_player_right 10e2
	1 run_right 10e2
	2 run_right 10e2
	3 IDLE_STANCE 2
	4 walk_start_right 1040
rocketback ped 1 5
	0 walk_rocket_back e2
	1 run_rocket_back e2
	2 run_rocket_back e2
	3 idle_rocket 2
	4 walkst_rocket_back 40
rocketleft ped 1 5
	0 walk_rocket_left 10e2
	1 run_rocket_left 10e2
	2 run_rocket_left 10e2
	3 idle_rocket 2
	4 walkst_rocket_left 1040
rocketright ped 1 5
	0 walk_rocket_right 10e2
	1 run_rocket_right 10e2
	2 run_rocket_right 10e2
	3 idle_rocket 2
	4 walkst_rocket_right 1040
